path,label
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\110_192.168.137.189_57834_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\113_192.168.137.189_33408_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\114_192.168.137.189_57778_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\121_192.168.137.189_39486_101.236.65.13_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\126_192.168.137.189_38578_42.81.247.1_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\127_192.168.137.189_47210_103.37.155.13_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\130_192.168.137.189_45366_124.236.64.103_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\134_192.168.137.189_57852_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\138_192.168.137.189_38576_42.81.247.1_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\138_192.168.137.189_38576_42.81.247.1_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_5.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_6.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\141_192.168.137.189_51478_103.202.146.29_443_TCP\block_7.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\144_192.168.137.189_41748_103.37.152.48_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\145_192.168.137.189_45536_103.37.152.67_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\146_192.168.137.189_44730_42.81.54.129_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\148_192.168.137.189_57814_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\149_192.168.137.189_47286_103.37.155.13_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\149_192.168.137.189_47286_103.37.155.13_443_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\149_192.168.137.189_47286_103.37.155.13_443_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\149_192.168.137.189_47286_103.37.155.13_443_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\149_192.168.137.189_47286_103.37.155.13_443_TCP\block_5.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\149_192.168.137.189_47286_103.37.155.13_443_TCP\block_6.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\14_192.168.137.189_33232_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\150_192.168.137.189_33392_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\152_192.168.137.189_41806_103.37.152.48_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\155_192.168.137.189_41768_103.37.152.48_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\157_192.168.137.189_47254_103.37.155.13_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\158_192.168.137.189_33398_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\161_192.168.137.189_49908_103.37.142.200_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\165_192.168.137.189_39542_101.236.65.13_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\168_192.168.137.189_39488_103.37.142.167_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\16_192.168.137.189_33242_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\178_192.168.137.189_33462_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\178_192.168.137.189_33462_42.81.54.129_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\178_192.168.137.189_33462_42.81.54.129_80_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\178_192.168.137.189_33462_42.81.54.129_80_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\178_192.168.137.189_33462_42.81.54.129_80_TCP\block_5.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\178_192.168.137.189_33462_42.81.54.129_80_TCP\block_6.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\17_192.168.137.189_33262_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\185_192.168.137.189_38676_42.81.247.1_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\185_192.168.137.189_38676_42.81.247.1_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\185_192.168.137.189_38676_42.81.247.1_80_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\185_192.168.137.189_38676_42.81.247.1_80_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\186_192.168.137.189_41796_103.37.152.48_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\188_192.168.137.189_44784_42.81.54.129_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\189_192.168.137.189_41860_103.37.152.48_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\190_192.168.137.189_41802_103.37.152.48_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\192_192.168.137.189_57866_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\193_192.168.137.189_38700_42.81.247.1_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\193_192.168.137.189_38700_42.81.247.1_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\197_192.168.137.189_45652_103.37.152.67_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_10.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_5.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_6.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_7.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_8.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\19_192.168.137.189_53004_101.236.13.2_443_TCP\block_9.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\204_192.168.137.189_38718_42.81.247.1_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\204_192.168.137.189_38718_42.81.247.1_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\207_192.168.137.189_38724_42.81.247.1_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\219_192.168.137.189_57908_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\222_192.168.137.189_57914_101.236.9.119_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\223_192.168.137.189_33490_42.81.54.129_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_08 23_04_51_187002\223_192.168.137.189_33490_42.81.54.129_80_TCP\block_2.csv,-1
