arrival_time,packet_size
1678287885558,-60
1678287885571,52
1678287885573,-40
1678287885573,-278
1678287885579,40
1678287885582,1500
1678287885583,1500
1678287885583,-40
1678287885585,-40
1678287885585,1500
1678287885586,-40
1678287885586,1500
1678287885587,1330
1678287885587,-40
1678287885588,-40
1678287885615,-276
1678287885642,1500
1678287885643,1500
1678287885644,-40
1678287885645,1500
1678287885645,490
1678287885647,-40
1678287885649,490
1678287885651,-52
1678287885686,-279
1678287885720,1500
1678287885721,1500
1678287885722,1500
1678287885722,-40
1678287885724,1500
1678287885725,-40
1678287885725,1500
1678287885726,1500
1678287885727,1500
1678287885727,-40
1678287885728,1500
1678287885730,1500
1678287885730,-40
1678287885731,1359
1678287885732,-40
1678287885732,1359
1678287885733,-52
1678287886292,-279
1678287886323,1500
1678287886324,-40
1678287886324,1500
1678287886325,-40
1678287886325,1500
1678287886326,-40
1678287886326,1500
1678287886327,877
1678287886330,-40
1678287886330,-40
1678287891182,-40
