arrival_time,packet_size
1678289171229,-98
1678289171233,-117
1678289171241,-117
1678289171241,-117
1678289171247,-117
1678289171327,-129
1678289171427,-124
1678289171528,-123
1678289171628,-119
1678289171728,-137
1678289171767,48
1678289171767,48
1678289171830,-123
1678289171929,-119
1678289172026,-207
1678289172127,-206
1678289172158,48
1678289172158,48
1678289172168,48
1678289172224,48
1678289172225,-145
1678289172326,-165
1678289172441,48
1678289172597,48
1678289172597,48
1678289172731,48
1678289176130,-206
1678289176130,-119
1678289176130,-117
1678289176130,-117
1678289176130,-117
1678289176130,-117
1678289176130,-118
1678289176130,-118
1678289176130,-116
1678289176514,48
