path,label
../preprocessed_data/features\bilibili\123_192.168.137.92_44268_59.36.228.18_443_TCP\block_9.csv,0
../preprocessed_data/features\bilibili\339_192.168.137.92_53718_14.17.92.73_443_TCP\block_1.csv,0
../preprocessed_data/features\bilibili\64_192.168.137.92_41208_14.17.92.72_443_TCP\block_1.csv,0
../preprocessed_data/features\bilibili\628_192.168.137.92_35510_171.110.146.29_32472_UDP\block_1.csv,0
../preprocessed_data/features\bilibili\57_192.168.137.92_57510_14.17.92.69_2243_TCP\block_3.csv,0
../preprocessed_data/features\bilibili\82_192.168.137.92_35510_114.237.246.34_35949_UDP\block_7.csv,0
../preprocessed_data/features\bilibili\331_192.168.137.92_37532_14.17.92.74_443_TCP\block_4.csv,0
../preprocessed_data/features\bilibili\177_192.168.137.92_48326_183.60.255.108_443_TCP\block_18.csv,0
../preprocessed_data/features\bilibili\111_192.168.137.92_48326_183.60.255.108_443_TCP\block_7.csv,0
../preprocessed_data/features\bilibili\51_192.168.137.92_35510_114.101.2.3_21542_UDP\block_2.csv,0
../preprocessed_data/features\bilibili\11_192.168.137.92_38968_59.36.228.208_80_TCP\block_10.csv,0
../preprocessed_data/features\bilibili\97_192.168.137.92_58045_123.182.86.46_3978_UDP\block_1.csv,0
../preprocessed_data/features\bilibili\538_192.168.137.92_35510_175.154.33.40_33331_UDP\block_36.csv,0
../preprocessed_data/features\bilibili\538_192.168.137.92_35510_175.154.33.40_33331_UDP\block_21.csv,0
../preprocessed_data/features\bilibili\111_192.168.137.92_39032_183.93.181.41_58218_UDP\block_3.csv,0
../preprocessed_data/features\bilibili\41_192.168.137.92_35510_180.115.152.65_1230_UDP\block_5.csv,0
../preprocessed_data/features\bilibili\123_192.168.137.92_44268_59.36.228.18_443_TCP\block_8.csv,0
../preprocessed_data/features\bilibili\376_192.168.137.92_53118_120.221.12.41_58567_UDP\block_1.csv,0
../preprocessed_data/features\bilibili\164_192.168.137.92_56950_218.77.193.178_443_TCP\block_1.csv,0
../preprocessed_data/features\bilibili\122_192.168.137.92_54302_101.91.136.161_443_TCP\block_14.csv,0
../preprocessed_data/features\bilibili\31_192.168.137.92_44268_59.36.228.18_443_TCP\block_3.csv,0
../preprocessed_data/features\bilibili\264_192.168.137.92_55616_183.62.112.57_80_TCP\block_5.csv,0
../preprocessed_data/features\bilibili\109_192.168.137.92_35510_123.168.144.120_36442_UDP\block_7.csv,0
../preprocessed_data/features\bilibili\82_192.168.137.92_35510_115.61.149.210_3226_UDP\block_5.csv,0
../preprocessed_data/features\bilibili\11_192.168.137.92_38968_59.36.228.208_80_TCP\block_3.csv,0
../preprocessed_data/features\bilibili\202_192.168.137.92_35510_220.184.55.229_39237_UDP\block_1.csv,0
../preprocessed_data/features\bilibili\779_192.168.137.92_35510_60.209.253.29_37560_UDP\block_7.csv,0
../preprocessed_data/features\bilibili\274_192.168.137.92_35510_121.235.188.181_32524_UDP\block_2.csv,0
../preprocessed_data/features\bilibili\98_192.168.137.92_60978_120.46.134.35_443_TCP\block_2.csv,0
../preprocessed_data/features\bilibili\402_192.168.137.92_44859_58.252.63.19_32755_UDP\block_1.csv,0
../preprocessed_data/features\bilibili\54_192.168.137.92_35510_120.239.226.8_3076_UDP\block_7.csv,0
../preprocessed_data/features\bilibili\109_192.168.137.92_46658_14.17.92.30_443_TCP\block_1.csv,0
../preprocessed_data/features\bilibili\265_192.168.137.92_35510_223.198.86.210_1030_UDP\block_2.csv,0
