arrival_time,packet_size
1673703271072,1420
1673703271072,1420
1673703271072,170
1673703271072,1420
1673703271072,1420
1673703271072,1420
1673703271072,1420
1673703271072,1420
1673703271072,1420
1673703271092,-348
1673703271093,1420
1673703271093,170
1673703271093,1420
1673703271095,1420
1673703271095,1420
1673703271095,1420
1673703271095,1420
1673703271095,1420
1673703271095,1420
1673703271095,170
1673703271114,-348
1673703271139,1420
1673703271139,1420
1673703271139,1420
1673703271139,1420
1673703271139,1420
1673703271139,1420
1673703271139,1420
1673703271139,1420
1673703271139,170
1673703271139,1420
1673703271139,1420
1673703271156,-380
1673703271160,1420
1673703271160,1420
1673703271160,1420
1673703271160,1420
1673703271160,1420
1673703271160,1420
1673703271160,170
1673703271161,1420
1673703271161,1420
1673703271161,1420
1673703271161,1420
1673703271178,-380
1673703271195,1420
1673703271195,1420
1673703271195,1420
1673703271195,1420
1673703271195,1420
1673703271195,170
1673703271195,1420
1673703271195,1420
1673703271195,1420
1673703271195,1420
1673703271195,1420
1673703271196,1420
1673703271199,-60
1673703271217,1420
1673703271218,1420
1673703271218,1420
1673703271218,170
1673703271218,1420
1673703271218,1420
1673703271218,1420
1673703271218,1420
1673703271218,1420
1673703271218,1420
1673703271218,1420
1673703271218,1420
1673703271221,-380
1673703271238,1420
1673703271241,-412
1673703271261,1420
1673703271261,170
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271262,1420
1673703271263,-60
1673703271283,-380
1673703271284,1420
1673703271284,170
1673703271284,1420
1673703271284,1420
1673703271284,1420
1673703271284,1420
1673703271284,1420
1673703271284,170
1673703271284,1420
1673703271284,1420
1673703271284,1420
1673703271284,1420
1673703271304,-412
1673703271307,1420
1673703271325,-60
1673703271330,170
1673703271330,1420
1673703271330,1420
1673703271330,1420
1673703271330,1420
1673703271330,1420
1673703271330,170
1673703271330,1420
1673703271330,1420
1673703271330,1420
1673703271330,1420
1673703271346,-380
1673703271353,1420
1673703271353,1420
1673703271353,170
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271353,1420
1673703271365,1420
1673703271368,-412
1673703271388,170
1673703271388,1420
1673703271388,1420
1673703271388,1420
1673703271388,1420
1673703271388,1420
1673703271388,170
1673703271388,1420
1673703271388,1420
1673703271388,1420
1673703271388,1420
1673703271389,-60
1673703271409,-380
1673703271411,1420
1673703271411,1420
1673703271411,170
1673703271411,1420
1673703271411,1420
1673703271411,1420
1673703271411,1420
1673703271411,1420
1673703271411,1420
1673703271412,1420
1673703271412,1420
1673703271412,1420
1673703271431,-412
1673703271434,1420
1673703271452,-60
1673703271459,170
1673703271459,1420
1673703271459,1420
1673703271459,1420
1673703271459,1420
1673703271459,1420
1673703271459,170
1673703271459,1420
1673703271459,1420
1673703271459,1420
1673703271459,1420
1673703271469,1420
1673703271470,1420
1673703271470,170
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271470,1420
1673703271473,-444
1673703271493,1420
1673703271494,-348
1673703271515,-60
1673703271516,170
1673703271516,1420
1673703271516,1420
