arrival_time,packet_size
1675773845526,-60
1675773845552,52
1675773845773,-40
1675773845773,-557
1675773845798,40
1675773845798,1480
1675773845798,1480
1675773845798,1480
1675773845798,1480
1675773845798,274
1675773845800,-40
1675773845800,-40
1675773845801,-40
1675773845801,-40
1675773845801,-40
1675773845829,-120
1675773845860,351
1675773845861,351
1675773845863,-295
1675773845888,1480
1675773845888,1469
1675773845888,1480
1675773845888,64
1675773846020,-40
1675773846024,-40
1675773846024,-40
1675773846024,-40
1675773846024,-40
1675773847430,-313
1675773847458,1480
1675773847458,1480
1675773847458,1480
1675773847458,1480
1675773847458,1480
1675773847458,514
1675773847461,-40
1675773847461,-40
1675773847461,-40
1675773847461,-40
1675773847461,-40
1675773847461,-40
1675773847483,-312
1675773847508,1480
1675773847508,1480
1675773847508,1480
1675773847508,1480
1675773847509,1480
1675773847509,1480
1675773847509,1480
1675773847509,1480
1675773847509,1480
1675773847509,1480
1675773847509,1480
1675773847509,1480
1675773847511,-40
1675773847511,-40
1675773847511,-40
1675773847511,-40
1675773847511,-40
1675773847511,-40
1675773847535,1001
1675773847588,-40
1675773848864,-313
1675773848898,1480
1675773848898,1480
1675773848898,1480
1675773848898,1480
1675773848898,1285
1675773848901,-40
1675773848901,-40
1675773848902,-40
1675773848902,-40
1675773848902,-40
1675773848930,-312
1675773848959,1480
1675773848959,1480
1675773848959,1480
1675773848959,1480
1675773848959,951
1675773848960,-40
1675773848960,-40
1675773849005,-40
1675773849716,-313
1675773849741,1480
1675773849742,1480
1675773849742,1480
1675773849742,48
1675773849742,1480
1675773849742,1480
1675773849742,1480
1675773849742,793
1675773849743,-40
1675773849743,-40
1675773849743,-40
1675773849743,-40
1675773849743,-40
1675773849743,-40
1675773849743,-40
1675773849744,-40
1675773849766,-313
1675773849791,1480
1675773849791,1468
1675773849791,1480
1675773849791,1480
1675773849791,1480
1675773849791,642
1675773849793,-40
1675773849793,-40
1675773849793,-40
1675773851217,-313
