arrival_time,packet_size
1675775527790,-1477
1675775527837,40
1675775527838,75
1675775527881,-40
1675775528008,1480
1675775528008,1480
1675775528008,1480
1675775528008,1480
1675775528008,1480
1675775528008,1480
1675775528008,1480
1675775528008,1480
1675775528008,670
1675775528010,-40
1675775528010,-40
1675775528010,-40
1675775528010,-40
1675775528010,-40
1675775528011,-40
1675775528011,-40
1675775528011,-40
1675775528011,-40
1675775528266,-1480
1675775528266,-677
1675775528269,-1480
1675775528295,-1480
1675775528313,40
1675775528313,75
1675775528314,-570
1675775528314,-40
1675775528320,389
1675775528321,-40
1675775528345,75
1675775528347,-40
1675775528360,75
1675775528361,-40
1675775528364,1480
1675775528364,1480
1675775528365,-40
1675775528366,-40
1675775528368,83
1675775528368,-40
1675775528377,867
1675775528380,-40
1675775531705,-1434
1675775531752,75
1675775531753,-40
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,1480
1675775532056,527
1675775532059,-40
1675775532060,-40
1675775532060,-40
1675775532060,-40
1675775532060,-40
1675775532060,-40
1675775532060,-40
1675775532061,-40
1675775532061,-40
1675775532061,-40
1675775532107,1480
1675775532107,1480
1675775532107,1480
1675775532107,1480
1675775532107,1480
1675775532107,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,1480
1675775532108,106
1675775532111,-40
1675775532111,-40
1675775532111,-40
1675775532112,-40
1675775532112,-40
1675775532112,-40
1675775532112,-40
1675775532113,-40
1675775532113,-40
1675775532114,-40
1675775534479,-79
