arrival_time,packet_size
1675780563292,-60
1675780563329,60
1675780563331,-40
1675780563335,-224
1675780563374,40
1675780563375,1480
1675780563375,1480
1675780563375,1256
1675780563375,213
1675780563377,-40
1675780563377,-40
1675780563377,-40
1675780563377,-40
1675780563382,-133
1675780563384,213
1675780563385,-52
1675780563421,314
1675780563422,-40
1675780563427,-1120
1675780563467,288
1675780563512,-40
1675780563604,-987
1675780563642,288
1675780563645,-40
1675780566275,-71
1675780566277,-40
1675780566314,40
1675780566314,40
1675780566315,-40
