arrival_time,packet_size
1677636386792,-622
1677636386792,-730
1677636386812,-146
1677636386822,-570
1677636386860,64
1677636386860,64
1677636386860,52
1677636386860,87
1677636386866,435
1677636386866,83
1677636386867,87
1677636386909,893
1677636386909,84
1677636386949,-52
1677636386959,-52
1677636386959,-52
1677636386959,-52
1677636386971,-52
1677636386971,-52
1677636387159,-431
1677636387159,-506
1677636387189,87
1677636387191,-52
1677636387216,1234
1677636387216,84
1677636387217,-52
1677636387217,-52
1677636392081,-274
