arrival_time,packet_size
1675781932609,-60
1675781932628,52
1675781932629,-40
1675781932630,-621
1675781932650,40
1675781932650,1480
1675781932651,1480
1675781932651,1256
1675781932652,-40
1675781932652,-40
1675781932652,-40
1675781932669,476
1675781932671,-40
1675781932677,-120
1675781932696,40
1675781932697,327
1675781932697,327
1675781932698,-348
1675781932698,-40
1675781932717,40
1675781932718,558
1675781932719,1480
1675781932719,1480
1675781932719,102
1675781932720,1480
1675781932720,1480
1675781932720,1480
1675781932720,1480
1675781932720,1480
1675781932720,1480
1675781932720,1480
1675781932720,47
1675781932720,-40
1675781932721,-40
1675781932721,-40
1675781932721,-52
1675781932721,-40
1675781932723,-40
1675781932723,-40
1675781932723,-40
1675781932724,-40
1675781936667,-324
1675781936686,40
1675781936687,558
1675781936687,1480
1675781936688,1480
1675781936688,1480
1675781936688,122
1675781936688,1480
1675781936688,1480
1675781936688,1480
1675781936688,1480
1675781936689,-40
1675781936689,-40
1675781936689,-40
1675781936689,-40
1675781936689,-40
1675781936689,-40
1675781936689,-40
1675781936689,-40
1675781936690,-40
1675781936709,1480
1675781936709,1480
1675781936709,1480
1675781936709,1245
1675781936710,-40
1675781936710,-40
1675781936710,-40
1675781936710,-40
1675781938805,-324
