arrival_time,packet_size
1675775127386,-618
1675775127386,-1288
1675775127386,-1288
1675775127386,-1344
1675775127386,-694
1675775127392,67
1675775127393,67
1675775127393,67
1675775127436,110
1675775127436,110
1675775127436,110
1675775127438,-67
1675775127595,356
1675775127596,123
1675775127596,1288
1675775127596,1288
1675775127596,1288
1675775127596,939
1675775127598,-67
1675775127600,-111
1675775127631,68
1675775130591,-1344
1675775130592,-1027
1675775130592,-1344
1675775130592,-1071
1675775130598,67
1675775130599,67
1675775130643,110
1675775130643,110
1675775130644,-67
1675775130647,379
1675775130648,123
1675775130648,1288
1675775130648,363
1675775130649,379
1675775130649,123
1675775130649,1288
1675775130649,130
1675775130650,-67
1675775130650,-111
1675775130651,-67
1675775130653,-111
1675775130658,67
1675775132002,-1288
1675775132002,-652
1675775132002,-1288
1675775132002,-1288
1675775132002,-1288
1675775132002,-1344
1675775132002,-1232
1675775132002,-655
1675775132010,67
1675775132010,67
1675775132010,67
1675775132010,67
1675775132053,110
1675775132054,110
1675775132054,110
1675775132057,-67
1675775132568,362
