arrival_time,packet_size
1675775077904,-60
1675775077910,52
1675775077912,-40
1675775077914,-557
1675775077922,40
1675775077923,1480
1675775077924,1480
1675775077924,1480
1675775077924,232
1675775077927,-40
1675775077927,-40
1675775077927,-40
1675775077927,-40
1675775077938,-120
1675775077944,335
1675775077944,335
1675775077946,-489
1675775077989,-40
1675775077995,40
1675775078048,1480
1675775078048,1312
1675775078048,1480
1675775078048,1480
1675775078048,1480
1675775078048,1480
1675775078048,1480
1675775078048,1480
1675775078048,1480
1675775078048,1480
1675775078051,-40
1675775078051,-40
1675775078052,-40
1675775078052,-40
1675775078053,-40
1675775078053,-40
1675775078053,-40
1675775078053,-40
1675775078053,-40
1675775078053,-40
1675775078058,1480
1675775078058,1480
1675775078058,211
1675775078059,-40
1675775078059,-40
1675775078059,-40
1675775102424,-64
